country,Region,Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),International trade: Balance (million US$),Population growth rate (average annual %),Urban population (% of total population),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita)
Syrian Arab Republic,WesternAsia,18270,99.5,102.1,28393,-5.3,1534.5,20.7,30,49.3,18.5,39.2,42.3,13.8,-1118,-2.3,57.7,3.1,36.6/6.8,132,2.7,30.7/1.7,237
Tajikistan,CentralAsia,8921,63.7,100.9,7853,4.2,925.9,25,28,47.1,57.2,13.4,29.4,10.8,-2132,2.2,26.8,3.5,35.3/5.8,45,3,5.2/0.6,76
Thailand,South-easternAsia,69038,135.1,95.2,395168,2.8,5814.8,9.1,35.7,55.1,34,22.7,43.3,0.6,18260,0.4,50.4,1.5,17.3/16.9,611,32,316.2/4.7,3338
The former Yugoslav Republic of Macedonia,SouthernEurope,2083,82.6,100,10052,3.8,4836.1,12,27.9,65.1,16.2,29.2,54.5,27.3,-1972,0.1,57.1,1.5,16.7/19.5,110,39.6,7.5/3.6,53
Timor-Leste,South-easternAsia,1296,87.2,103.2,2873,4.3,2425.4,5.2,79.9,14.9,50.8,2,47.2,4.3,-553,2.2,32.8,5.9,43.6/5.4,24,46.9,0.5/0.4,143
Togo,WesternAfrica,7798,143.4,99.4,4086,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,-1001,2.6,40,4.7,41.6/4.6,80,3.8,2.6/0.4,111
Tokelau,Polynesia,1,130,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,1.9,0,2.1,28.3/12.2,49,0,-99,-99
Tonga,Polynesia,108,150,100.7,402,3.8,3784.5,22.4,21.5,56.1,33.3,28.2,38.5,4.8,-196,0.4,23.7,3.8,35.8/8.5,79,12.5,0.1/1.1,0
Trinidad and Tobago,Caribbean,1369,266.9,97.1,25927,0.2,19062.9,0.5,42.5,57,4.1,31.6,64.3,4.2,-249,0.5,8.4,1.8,20.7/15.0,69,45.4,46.3/34.2,1663
Tunisia,NorthernAfrica,11532,74.2,97.6,41199,0.8,3660.9,10.3,27.8,62,11.7,29.4,58.9,14.6,-5973,1.2,66.8,2.3,24.0/12.3,96,6.6,28.8/2.6,274
Turkey,WesternAsia,80745,104.9,97,717888,4,9125.8,8.6,26.4,65,19.6,27.5,52.9,10.8,-55996,1.6,73.4,2.1,25.0/12.0,388,15.1,346.0/4.5,1303
Turkmenistan,CentralAsia,5758,12.3,97,37597,6.5,6996.7,13.4,51,35.6,17.9,37.4,44.7,8.6,1125,1.8,50,3,30.9/7.3,54,8.8,68.4/12.9,3270
Turks and Caicos Islands,Caribbean,35,37.3,104.1,863,4.1,25121.8,0.6,10.4,89,...,...,...,...,-385,2,92.2,-99,19.2/7.6,60,36.2,0.2/6.1,0
Tuvalu,Polynesia,11,373.1,102,33,3.5,3362.4,26,7.6,66.4,-99,-99,-99,...,-12,0.9,59.7,3.6,31.1/9.9,96,33.3,~0.0/...,-99
Uganda,EasternAfrica,42863,214.5,99,25282,5.4,647.7,25.6,21.5,52.9,72,7.4,20.5,2.4,-996,3.4,16.1,5.9,47.7/3.3,196,11,5.2/0.1,409
Ukraine,EasternEurope,44223,76.3,86,90615,-9.9,2021.6,14,26.3,59.7,15.7,24.6,59.7,8.8,-2815,-0.5,69.7,1.5,15.5/23.2,102,16.6,227.3/5.1,3203
United Arab Emirates,WesternAsia,9400,112.4,262.4,370296,3.8,40438.8,0.7,44.9,54.4,3.5,21.1,75.4,3.7,-6296,2,85.5,1.8,13.9/2.4,56,3.8,211.4/23.2,8642
United Kingdom,NorthernEurope,66182,273.6,97.4,2858003,2.2,44162.4,0.7,19.4,79.9,1.2,18.4,80.4,5,-219713,0.6,82.6,1.9,17.7/23.9,102,12.9,419.8/6.5,4482
United Republic of Tanzania,EasternAfrica,57310,64.7,97.8,45628,7,877.3,31.1,26.1,42.9,66.9,6.4,26.7,2.7,-3134,3.1,31.6,5.2,44.9/4.7,1082,52.4,11.6/0.2,935
United States of America,NorthernAmerica,324460,35.5,98,18036648,2.6,56053.8,1,19.7,79.3,1.5,17.2,81.3,4.9,-796494,0.7,81.6,1.9,18.9/21.5,1513,33.9,5254.3/16.2,83887
United States Virgin Islands,Caribbean,105,299.7,91.1,-99,-99,-99,-99,-99,-99,10.9,24,65.2,9,-99,-0.2,95.3,2.3,20.1/25.3,58,50.6,-99,-99
Uruguay,SouthAmerica,3457,19.8,93.5,53442,1,15573.8,6.8,28,65.2,8.7,20.5,70.8,8.8,-1173,0.3,95.3,2,21.1/19.5,106,10.4,6.7/2.0,113
Uzbekistan,CentralAsia,31911,75,99.4,69004,6.8,2308.3,19.2,32.9,47.9,29,23.9,47.1,8.9,2295,1.6,36.4,2.4,28.0/7.6,59,7.6,105.2/3.6,2339
Vanuatu,Melanesia,276,22.7,102.4,737,-1,2783,26.7,8.4,64.9,61.4,6.8,31.8,5.3,-366,2.3,26.1,3.4,35.9/6.7,137,36.1,0.2/0.6,1
Venezuela (Bolivarian Republic of),SouthAmerica,31977,36.3,99,344331,-6.2,11068.9,5.3,44.7,50,11.9,26.8,61.3,6.6,3407,1.4,89,2.4,27.6/9.9,328,53.1,185.2/6.1,7460
Viet Nam,South-easternAsia,95541,308.1,98,193241,6.7,2067.9,18.9,37,44.2,41.8,22.9,35.2,2.2,2520,1.1,33.6,2,23.1/11.1,616,47.2,166.9/1.8,2977
Wallis and Futuna Islands,Polynesia,12,84.1,93.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-51,-2.1,0,2.1,25.5/15.4,89,41.6,~0.0/1.6,-99
Western Sahara,NorthernAfrica,553,2.1,110.1,-99,-99,-99,-99,-99,-99,37.4,27.9,34.7,6.8,-99,1.8,80.9,2.6,28.1/5.4,49,2.7,-99,-99
Yemen,WesternAsia,28250,53.5,102.1,29688,-28.1,1106.4,14.7,36.9,48.4,32.9,17.9,49.2,16.1,-6291,2.6,34.6,4.4,39.9/4.6,298,1,22.7/0.9,668
Zambia,EasternAfrica,17094,23,98.5,21255,2.9,1311.1,8.2,32.3,59.5,54.8,9.9,35.3,7.4,-937,3,40.9,5.2,44.8/3.7,88,65.6,4.5/0.3,374
Zimbabwe,EasternAfrica,16530,42.7,95,13893,1.1,890.4,13,30.5,56.5,67.5,7.3,25.2,5,-2379,2.3,32.4,4,41.2/4.2,89,37.2,12.0/0.8,482
